"RegionName","RegionType","StateFullName","DataTypeDescription","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"Oklahoma","State","Oklahoma","All Homes",22154,22308,22639,22617,22034,21625,21737,22350,23261,23879,24444,25134,25463,25341,25275,25280,25063,25305,25788,25399,24671,24452,24397,23781,22799,22351,22094,21727,21871,21772,20783,20069,20002,19929,19782,19795,19969,20024,19999,20093,20138,19979,19810,19643,19323,18998,18741,18587,18509,18310,18162,18370,18688,18782,18828,18932,18904,18622,18152,17899,18011,18040,17616,17219,17323,17475,17677,18029,18268,18425,18485,18377,18289,18585,19219,19586,19391,19273,19514,19653,19559,19476
"Connecticut","State","Connecticut","All Homes",25808,26092,26191,25667,24761,24174,23817,23477,23475,23990,25073,26338,27043,27132,27357,27842,28012,28397,29519,30196,30112,30106,30032,29647,29256,29537,30231,30247,29876,29379,28397,27429,26565,25466,24713,24483,24457,24530,24375,24046,23750,23395,23078,23153,23581,23928,24186,24373,24348,24194,24040,24437,25409,26040,26180,26232,26308,26515,26392,25852,25561,25038,24262,24099,24447,24836,25122,25319,25371,25098,24588,24024,23361,22881,22745,22546,22109,21689,21424,21193,20984,20944
"Iowa","State","Iowa","All Homes",13529,13662,14008,14168,13930,13818,14006,14341,14903,15389,15932,16645,17080,17501,18111,18529,18672,18727,18870,18883,18565,18353,18321,18157,17976,17859,17840,17852,17797,17756,17526,17186,17000,16834,16472,16091,16165,16479,16625,16768,16832,16670,16500,16380,16192,16032,15966,15807,15523,15235,15255,15684,16001,16053,16027,15957,15898,15775,15557,15371,15192,14893,13887,12505,12120,12266,12236,12328,12505,12598,12623,12662,12552,12287,12289,12550,12629,12653,12796,12844,12787,12776
"Mississippi","State","Mississippi","All Homes",13757,13719,13789,13930,13858,13883,14094,14092,14151,14285,14178,14037,14112,14421,14798,15033,14926,14624,14497,14341,13951,13640,13315,12912,12836,13021,13026,12826,12729,12695,12401,12030,11832,11888,12323,12737,12869,12966,13189,13450,13609,13647,13644,13733,13784,13571,13303,13192,12947,12458,12312,12695,13000,12998,12946,13000,13045,12936,12827,12888,12971,12928,12181,10862,10344,10516,10696,10860,11056,11469,11801,11815,11706,11584,11754,12244,12533,12629,12779,13030,13294,13360
"Arkansas","State","Arkansas","All Homes",18523,18454,18528,18507,18352,18525,18841,18919,18835,18758,18728,18786,19352,20212,20776,21014,20787,20519,20677,20682,20273,19957,19899,19801,19486,19164,19117,19228,19413,19411,19114,19158,19511,19674,19663,19557,19382,19301,19605,20204,20708,20840,20345,19715,19737,20070,20199,20155,19961,19686,19740,20246,20373,19860,19558,19731,19987,20002,19832,19760,19696,19440,18163,16201,15451,15904,16635,17027,16911,16730,16615,16641,16809,17000,17388,17877,18137,18263,18344,18341,18198,17986
"Kansas","State","Kansas","All Homes",16614,16799,17271,17456,17435,17709,17854,17822,17871,17646,17330,17287,17200,17157,17461,17658,17402,17203,17272,17157,16856,16695,16507,16157,15936,15866,15673,15080,14196,13454,13026,12831,12618,12412,12317,12302,12478,12552,12321,12163,12113,11951,11791,11724,11685,11666,11726,11800,11714,11438,11260,11550,12006,12103,11920,11719,11677,11713,11598,11460,11448,11321,10750,10235,10365,10584,10624,10704,10763,10815,10875,10828,10633,10443,10429,10587,10748,10883,10994,11050,11052,10986
"Utah","State","Utah","All Homes",17417,17287,17578,17743,17228,16638,16097,15878,16219,16434,16703,17335,17842,18454,19089,19178,18899,18830,18979,18672,18032,17737,17624,17319,16856,16106,15012,14116,13766,13481,13053,12782,12566,12274,11940,11545,11302,11292,11469,11951,12462,12636,12801,13133,13332,13457,13611,13653,13568,13501,13820,14544,15019,15141,15129,14913,14655,14380,13942,13496,13197,12872,11953,10657,9944,9618,9323,9237,9290,9284,9105,8806,8617,8642,8821,9009,9162,9489,9817,9895,9778,9609
"Nevada","State","Nevada","All Homes",23431,23514,23544,23188,22673,22583,23101,23895,25427,27283,28115,28313,28508,28890,29873,30946,31134,31064,31304,30984,30224,29770,29071,27813,26684,25760,24606,23585,23028,21930,20032,18306,15840,12734,11559,11779,11603,11329,11194,11116,11105,11011,10947,11288,12074,12956,13579,13799,13727,13713,13882,14140,14373,14349,14110,14006,14316,14768,14918,14863,14881,14845,14618,14367,14064,13928,14054,14119,14283,14569,14477,14101,13949,14058,14185,14204,14738,16056,17333,18071,18269,18327
"New Mexico","State","New Mexico","All Homes",13064,13082,13078,12933,12697,12643,12690,12700,12824,12954,13137,13550,13974,14355,14679,14633,14303,14221,14495,14655,14579,14620,14685,14533,14238,13897,13440,12978,12876,12857,12584,12552,12870,13038,13001,12896,12871,13074,13342,13537,13705,13827,13940,14040,14031,13950,13862,13807,13759,13681,13742,14065,14395,14506,14472,14406,14316,14139,13784,13420,13229,13073,12962,13048,13097,12961,12840,12641,12339,12251,12466,12672,12670,12579,12533,12579,12631,12648,12635,12601,12557,12480
"West Virginia","State","West Virginia","All Homes",7862,7773,7760,7785,7571,7218,6925,6801,6904,7024,7173,7472,7767,8049,8231,8270,8314,8470,8804,8978,8755,8706,9066,9213,9075,9041,8968,8662,8329,8101,7935,7910,8028,8067,7997,7962,8025,8149,8203,8193,8275,8391,8371,8218,8123,8176,8256,8348,8402,8353,8397,8642,8905,9076,9169,9201,9198,9178,9094,8944,8852,8830,8832,8917,9056,9132,9147,9254,9452,9513,9354,9159,9018,8896,8912,9083,9300,9527,9741,9912,9983,10009
"Nebraska","State","Nebraska","All Homes",7190,7445,7478,7414,7371,7295,7220,7217,7370,7682,7989,7757,7188,7233,7732,7968,7974,7923,7828,7666,7441,7238,7037,6961,6994,6867,6689,6588,6504,6346,6094,5942,5897,5791,5676,5755,5899,5909,5885,5879,5847,5993,6365,6561,6522,6472,6425,6423,6455,6366,6301,6391,6435,6350,6229,6173,6164,6107,6039,6097,6135,5986,5649,5279,5196,5324,5411,5437,5461,5471,5452,5492,5559,5509,5453,5519,5566,5489,5372,5355,5368,5324
"Idaho","State","Idaho","All Homes",15648,15819,15980,15826,15199,14564,14197,14059,14160,14251,14319,14575,14881,15085,15291,15290,15008,14999,15503,15895,15712,15489,15640,15716,15432,15053,14558,13984,13636,13402,12923,12424,12359,12469,12466,12341,12203,12142,12133,12257,12404,12410,12457,12652,12810,12911,12958,12914,12825,12748,12727,13012,13583,13860,13758,13542,13408,13352,13152,12914,12765,12612,12431,12249,12190,12197,12028,11788,11545,11176,10712,10392,10280,10220,10275,10404,10453,10512,10645,10708,10583,10399
"Hawaii","State","Hawaii","All Homes",6717,6632,6499,6251,5870,5464,5115,5012,5202,5343,5353,5372,5383,5583,6077,6523,6740,7077,7719,8223,8313,8426,8719,8784,8607,8406,8208,8017,7879,7767,7549,7237,6995,6805,6574,6389,6394,6480,6447,6382,6369,6306,6146,6049,6067,6077,6104,6181,6263,6306,6358,6429,6398,6307,6286,6392,6538,6542,6487,6546,6612,6589,6475,6549,7074,7652,7975,8012,7944,8029,8143,8171,8170,8190,8262,8298,8213,8063,7965,7976,8002,7999
"Maine","State","Maine","All Homes",14274,14549,14703,14455,13843,13260,12792,12749,13225,13474,13588,13654,13398,13265,13525,13806,13918,14424,15290,15920,16240,16436,16672,16611,16120,15720,15532,15302,15075,14795,14340,13158,11503,10872,10934,11550,12960,13789,14048,14281,14106,13630,13181,13195,13691,13939,13878,13670,13224,12891,12956,13282,13497,13502,13357,13393,13815,13996,13763,13462,13214,13006,12200,11509,12146,12947,13632,14111,13557,12881,12615,12267,11750,11355,11328,11268,10831,10420,9957,9617,9787,9917
