"RegionName","RegionType","StateFullName","DataTypeDescription","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"Maine","State","Maine","All Homes",12476,13326,13292,13546,13503,14383,14576,14750,14619,14138,13279,12872,11590,11824,11983,12840,13508,15336,17342,18310,17504,16964,16677,15637,14498,14102,14274,13892,14975,15935,16184,16279,11764,11631,10914,9597,12112,12240,12552,13084,14055,14667,15044,15298,15146,14719,13715,12723,11530,11284,11346,11903,13452,14570,15388,15512,15291,14825,13674,12270,11623,11476,11270,8744,12658,13882,15350,17398,14481,13611,12528,11221,10088,9714,9672,10118,10449,11635,11963,11744,11255,10716
"New Hampshire","State","New Hampshire","All Homes",10824,10780,11870,12532,12258,12548,12739,13184,13552,12812,12514,11234,10202,10560,10975,11871,12258,14069,15776,16586,15610,15056,14017,12608,11360,11312,11725,12092,12739,13616,13570,13328,13310,12820,11960,10603,9592,10016,10438,11112,12431,13194,13232,13329,13046,12464,11290,10110,8939,7746,8460,9477,11150,12319,12920,13126,13091,12514,11313,9792,8774,8662,9038,10232,11745,13146,13759,13368,13025,12384,11077,9478,7813,7497,7675,8265,8883,9766,9856,9755,9347,8705
"Rhode Island","State","Rhode Island","All Homes",4924,5080,6743,6884,6920,7226,7312,7042,6860,7002,6951,6603,6138,6041,6854,7684,8140,8296,9002,8724,8562,8418,8077,7477,6858,6809,7065,7068,7397,7573,7204,7008,6914,6650,6193,5642,5231,5314,5558,5906,6341,6329,6191,6279,6212,6051,5706,5205,4678,4724,5056,5570,6144,6436,6686,6682,6582,6410,6019,5299,4813,4633,4503,5524,5924,6156,6293,6264,6048,5367,5010,4710,4372,4294,4497,4686,5008,5323,5420,5423,5355,5181
"Montana","State","Montana","All Homes",4832,4895,5262,5624,5671,6094,6296,6352,6006,5778,5824,6014,6263,6555,7273,7600,8192,9196,10146,10831,10536,10160,10056,9246,8454,8464,8325,8226,8553,9032,9258,9263,8886,8304,7642,5912,6110,6984,7318,8518,8844,7967,8070,8120,7904,7539,7140,6752,5986,5964,5918,6747,7222,8005,8489,8658,8478,8047,7372,6560,6174,6132,6266,6195,7124,7642,7796,7910,7638,7226,7139,6858,6284,6396,6749,7148,7220,8243,8540,8489,8322,7918
"Delaware","State","Delaware","All Homes",6246,6364,6832,7144,6943,7084,7082,8176,8730,8574,8380,8408,7872,8216,9069,9182,9209,9547,10011,9813,9341,9227,9291,9123,8606,8485,8340,8252,8400,8375,7866,7526,7747,7730,7403,6752,6433,7106,7380,7584,7554,7550,7112,7130,7138,7027,6905,6560,6211,6310,6397,6957,7330,7539,7653,7587,7546,7547,7252,6680,6384,6402,6413,5384,5912,6082,6257,6437,7646,7596,7284,6858,6506,6520,6734,6895,7013,7244,7252,7099,7016,6954
"South Dakota","State","South Dakota","All Homes",2900,3000,3430,3634,3632,3790,3904,3932,3850,3808,3672,3512,3744,3127,3740,3944,4122,4414,4924,5084,4800,4652,4122,3794,3536,3561,3667,3689,3902,4055,4040,4071,3924,3734,3445,3332,2878,3070,3270,3352,3653,3855,3947,4040,3910,3648,3360,3125,2797,2834,2880,3256,4014,4041,3746,3596,3610,3558,3388,3220,2868,2885,3000,2839,2947,2847,2793,2882,2843,3334,3157,2635,2658,2826,3000,3280,3518,3695,3922,3935,3904,3670
"Alaska","State","Alaska","All Homes",2762,2784,3075,3149,3328,3616,3754,3845,3859,3656,3362,3179,2890,2992,3430,3684,4112,4529,5281,5368,4826,4594,4356,3804,3474,3550,3633,3620,3917,4372,4582,4646,4599,4178,3889,3444,3176,3379,3656,3871,4165,4664,4952,4996,4664,4219,3690,3188,2763,2777,2872,3169,3430,3785,3995,3994,3783,3521,3198,2906,2594,2616,2951,3313,3434,3726,3911,3992,3824,3470,3122,2808,2545,2853,3025,3372,3658,4095,4219,4265,4078,3680
"North Dakota","State","North Dakota","All Homes",1327,1540,1464,1394,1402,1464,1550,1588,1588,1556,1490,1485,1360,1406,1455,1546,1592,1693,1776,1832,1904,1847,1921,1770,1562,1479,1458,1196,1286,1382,1431,1509,1616,1590,1590,1353,1217,1200,1221,1187,1123,1282,1166,1326,1422,1488,1425,1288,1175,1180,1211,1243,1401,1464,1471,1608,1674,1787,1744,1488,1347,1361,1452,1655,1786,1816,1954,2064,2151,2164,2083,1963,1826,1996,2181,2301,2674,2928,3174,3249,3026,2980
"Vermont","State","Vermont","All Homes",4192,4280,4598,4800,4856,5154,5334,5457,5473,5240,5008,4855,4635,4985,4878,5206,5353,6176,7197,7912,7552,7456,7329,7422,7150,7077,7154,7098,7517,7794,7954,8099,8408,8211,7728,7298,7034,7077,7124,7234,7623,8181,8311,8530,8499,8325,7718,7213,6871,6086,6491,6915,7596,8194,8707,9112,9004,8816,8146,7609,7279,7228,7594,7805,7871,8558,9149,9312,9129,8823,8264,7662,6852,6742,6626,6823,7014,7717,7952,8024,7828,7510
"District of Columbia","State","District of Columbia","All Homes",1943,1930,2126,2311,2218,2273,2255,1827,2012,2437,2414,2334,2029,2114,2304,2316,2396,2582,2569,2452,2369,2374,2351,2124,1830,1915,1908,1812,1776,1768,1658,1589,1410,1354,1291,1066,924,964,940,1091,1193,1074,1032,1014,1053,1213,1234,1117,924,932,926,1083,1137,1278,1254,1178,1244,1367,1274,1041,919,932,967,1194,1240,1298,1256,1218,1304,1468,1463,1173,1042,1028,1112,1228,1290,1347,1292,1162,1279,1320
"Wyoming","State","Wyoming","All Homes",2158,2234,2380,2605,2632,2776,3060,3121,3145,3086,3037,2865,2752,2972,3917,4031,4197,4620,5367,5774,5508,5314,5205,4754,4376,4450,4460,4251,4449,4704,4756,4850,4882,4503,4556,4288,3937,3968,4064,4072,4144,4394,4481,4502,4392,4101,3850,3588,3328,3288,3351,3641,3859,4025,4150,3470,3466,3280,3222,3064,2797,2893,3064,3252,3592,3750,4002,4238,4115,3960,3794,3425,3155,3462,3840,4098,4238,4615,4841,5033,4902,4733
