"RegionName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69230769230769,1.82095625635809,1.9375,1.97314890154597,1.99285714285714,1.9975,2.03580586080586,2.08,2.103781882146,2.11428571428571,2.1221799166526,2.15384615384615,2.16435368461556,2.17647058823529,2.2,2.2238398544131,2.23194748358862,2.26219512195122,2.27351916376307,2.27851851851852,2.31264136160483,2.32635233918129,2.36814345991561,2.37247353224254,2.38768440801817,2.39380529401315,2.39705882352941,2.39333333333333,2.46336990876021,2.37676056338028,2.44150559511699,2.33812949640288
"Texas",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1213856043085,1.15257192676548,1.16935483870968,1.16808018504241,1.15965166908563,1.13988580750408,1.15375083404823,1.17045454545455,1.17525675082272,1.15320910973085,1.13610881024791,1.16779628128495,1.16352201257862,1.18432070958392,1.19594594594595,1.21499292786422,1.21689934340537,1.22535211267606,1.23481781376518,1.22692516495448,1.32154361192427,1.31086142322097,1.31961650267276,1.29182879377432,1.33333333333333,1.32795031055901,1.333861521181,1.33223684210526,1.3217340417777,1.31778546577448,1.33595800524934,1.28076379066478
"Florida",3,,,,,,,,,,0.916905444126075,0.883333333333333,0.863636363636364,0.88810879811469,0.91738906571803,0.941102664403277,0.946713933983711,0.962441314553991,0.948275862068966,0.940697674418605,0.951075831324205,0.957330415754923,0.924024640657084,0.936666666666667,0.941075831530217,0.937031484257871,0.958333333333333,0.965914923291492,0.966767371601209,0.967926689576174,0.958188153310105,1,1.01739130434783,1.06202370325758,1.10070257611241,1.16067283459345,1.11683848797251,1.09429569266589,1.07700312174818,1.06414473684211,1.06472103700377,1.08166666666667,1.08061961529199,1.08828671328671,1.09090909090909,1.09868477668455,1.10302875894258,1.11111111111111,1.11493123772102,1.10601001669449,1.14036363636364,1.15131578947368,1.13924050632911,1.14564220183486,1.14901253481894,1.24770490753936,1.27032967032967,1.27272727272727,1.29794932014833,1.34126984126984,1.35168726442842,1.35995740149095,1.38140161725067,1.41154328732748,1.38644366197183,1.3904435599192,1.37859057174272,1.38717948717949,1.38436482084691,1.44545454545455,1.40304276608624
"Pennsylvania",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13021135029354,1.18167832167832,1.21830985915493,1.2258064516129,1.2,1.2,1.17058823529412,1.17058823529412,1.15833333333333,1.1749680715198,1.16842105263158,1.21875,1.25214285714286,1.27272727272727,1.28571428571429,1.27272727272727,1.26822676463691,1.25,1.23339350180505,1.22039160593943,1.30589543937709,1.27857142857143,1.35652173913043,1.39255319148936,1.38029556650246,1.42051282051282,1.43616905693177,1.41176470588235,1.38163265306122,1.35769230769231,1.33333333333333,1.31818181818182
"Ohio",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.737179487179487,0.769662921348315,0.775327360441075,0.772727272727273,0.766666666666667,0.769230769230769,0.75449494949495,0.772334217049993,0.793650793650794,0.792682926829268,0.808823529411765,0.84,0.876470588235294,0.878947368421053,0.884146341463415,0.872727272727273,0.869872303391682,0.878947368421053,0.861787002281593,0.850851403711508,0.904761904761905,0.912027686408782,0.9022537683441,0.915876777251185,0.952994764829548,0.957446808510638,0.957345971563981,0.93452380952381,0.945216049382716,0.923076923076923,0.930523206433571,0.920138888888889
"Michigan",6,0.694117647058824,0.737586547972305,0.76653857414727,0.75,0.75,0.755658436213992,0.762071081439301,0.78125,0.785714285714286,0.722222222222222,0.722222222222222,0.720833333333333,0.740131578947368,0.766666666666667,0.794686854583006,0.792079207920792,0.807291666666667,0.752652986545066,0.738765928906774,0.744047619047619,0.742857142857143,0.75,0.75,0.722222222222222,0.722222222222222,0.75,0.833333333333333,0.817369093231162,0.821428571428571,0.813680926916221,0.792079207920792,0.792405063291139,0.835584543470008,0.844702797202797,0.821256038647343,0.833333333333333,0.845189480075721,0.85,0.854475792406827,0.858208955223881,0.888888888888889,0.888145932149669,0.878672424437644,0.9,0.9,0.902777777777778,0.9,0.906686944667091,0.916135881104034,0.915492307692308,0.944027972027972,0.962994187129709,0.968049287198223,0.995884773662551,0.941176470588235,0.93625,0.969358823529412,1,1.03941267387944,1.0359168241966,1.03125,1.01538461538462,1.02112676056338,1.0269696969697,1.0054347826087,1.00709219858156,1.03937007874016,1.05294117647059,1.06726457399103,1.0601724137931
"Georgia",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998333333333333,1.00328320710938,0.932737908029545,0.989655172413793,0.942978142076503,0.91726618705036,0.949720670391061,0.935771632471008,0.974462365591398,0.974369446461294,0.982314477416751,1.00633333333333,1.00756182625238,1.0362037037037,1.08581436077058,1.12179487179487,1.1,1.11701946046413,1.1050647948921,1.07916666666667,1.25206611570248,1.23098739905143,1.24445794667845,1.22198505869797,1.24364592462752,1.23900879296563,1.13125,1.17697594501718,1.14205607476636,1.15384615384615,1.2037037037037,1.15932607331264
"North Carolina",8,,,,,,,,,,0.695,0.674325674325674,0.662739322533137,0.668918918918919,0.724137931034483,0.746681415929204,0.749732334047109,0.749625374625375,0.70984481752326,0.645833333333333,0.663129973474801,0.668036998972251,0.673076923076923,0.673617113223855,0.655212550607287,0.699248120300752,0.712266605816039,0.810441767068273,0.850373684058485,0.878531073446328,0.810893875998479,0.870422535211268,0.8547465644497,0.845467797508614,0.81447963800905,0.808139534883721,0.820255474452555,0.825,0.819000819000819,0.812897366030881,0.845648604269294,0.863636363636364,0.883106128169194,0.87391014732503,0.887692588917324,0.878787878787879,0.885350318471338,0.9,0.921686746987952,0.925925925925926,0.920731707317073,0.944053672619066,0.960658737419945,0.988468359460726,1.00293255131965,1.00680398056006,1.03230302696483,1.03646185010128,1.01670146137787,1.09820585457979,1.08775137111517,1.09451575262544,1.1254109310356,1.20963156101779,1.1535414403778,1.1731843575419,1.1794670846395,1.19726990104212,1.18877551020408,1.22648083623693,1.1766975308642
"New Jersey",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.97571798146511,1.95,1.9527619047619,2.01081081081081,2.08333333333333,2.14285714285714,2.14285714285714,2.1875,2.16666666666667,2.125,1.9662221350938,1.86785130718954,1.89285714285714,1.97595792637115,1.89969604863222,1.95885553737819,1.98791833413291,1.9811320754717,1.89168045655126,1.91481790535529,1.90119047619048,1.88374886228787,1.995,2.01293473032603,2.09793351302785,2.22166666666667,2.1455223880597,2.07893630291325,2.11532217782218,2.09589274362002,2.07628035992152,2,2.02639019792648,2.03426124197002
"Virginia",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46989583333333,1.54330708661417,1.63,1.6741935483871,1.70864511423919,1.71326530612245,1.64705882352941,1.56565656565657,1.57529880478088,1.51618398637138,1.48064806480648,1.57407407407407,1.53106442992874,1.54016252317705,1.53980099502488,1.55259989951762,1.54483262770757,1.57310704960836,1.56153521649624,1.52791878172589,1.60079051383399,1.56183456183456,1.5625,1.5538838612368,1.58875210033276,1.58213065835628,1.58318584070796,1.5029296875,1.56329509065358,1.50945273631841,1.49680365296804,1.51198871650212
"Washington",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33507484291566,1.43292682926829,1.5606936416185,1.60714285714286,1.64447924823806,1.58587987355111,1.63245823389021,1.55796522556391,1.6709828720114,1.63910498192676,1.64369603610675,1.7717206132879,1.76101623646961,1.73571428571429,1.75,1.80412371134021,1.81818181818182,1.832,1.83241106719368,1.81034482758621,1.69691470054446,1.80721903199344,1.81061864492097,1.87855892434958,1.94174757281553,1.94444444444444,2.01050245098039,1.98412698412698,1.94736842105263,1.92191780821918,1.94059341233879,1.85161290322581
"Massachusetts",12,,,,,,,,,1.77272727272727,1.65590277777778,1.66666666666667,1.625,1.68,1.625,1.77206152433425,1.8761815420352,1.9570023902651,2.07142857142857,1.9909972299169,1.7962962962963,1.8,1.79122686457761,1.83333333333333,1.9264245014245,1.83333333333333,1.98412698412698,1.89285714285714,1.85592185592186,1.97510478333904,1.98696722703345,2.20833333333333,2.15619191449814,2.11111111111111,2.04787369493252,2.08333333333333,2.0280701754386,1.89043787247873,2.02351485148515,2.023988005997,2.11549295774648,2.26666666666667,2.30097570183017,2.31597967250141,2.19339541465094,2.12724819403992,2.08955223880597,2.05338145896657,1.995,2.16644562334217,2.22222222222222,2.30195905061255,2.4,2.39246131130383,2.34622282317022,2.37465083798883,2.28571428571429,2.2,2.15,2.1875,2.25,2.33333333333333,2.4,2.45649171270718,2.5,2.48666666666667,2.4296435272045,2.44444444444444,2.38636363636364,2.33333333333333,2.24848484848485
"Indiana",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.762152777777778,0.727801557576839,0.725899307932162,0.695935294420689,0.697212245144349,0.732641396495748,0.747282608695652,0.738532110091743,0.761498884651364,0.746268656716418,0.751062022090059,0.748847926267281,0.75620412029363,0.793333333333333,0.785457348406989,0.777428920286063,0.830357142857143,0.804369588744589,0.790540540540541,0.818059299191375,0.819148936170213,0.841371918542337,0.841654778887304,0.853251595192165,0.858088235294118,0.847619047619048,0.845034965034965,0.831225362169988,0.833333333333333,0.868919033130494,0.883333333333333,0.914285714285714,0.907792207792208,0.897941002483722,0.9,0.90881166614955,0.929629800208174,0.936330740642005,0.91762252346194,0.907272727272727,0.897867564534231,0.950506912442396,0.909090909090909
"Arizona",14,,,,,,,,,,,0.75,0.65625,0.770032051282051,0.828690807799443,0.8325,0.830790568654646,0.875,0.792762239776005,0.735294117647059,0.732230094466937,0.734976358737099,0.727966101694915,0.71892430924893,0.728807471264368,0.730460579673027,0.743333333333333,0.828488372093023,0.84098854543615,0.847529812606474,0.823226038980842,0.850622406639004,0.847100389863548,0.833333333333333,0.847457627118644,0.84318766066838,0.85,0.873159520218344,0.879973907371168,0.871394230769231,0.910064239828694,0.906604096292812,0.913921360255048,0.903284671532847,0.900277008310249,0.898101898101898,0.897634590377113,0.897269180754226,0.915358211582468,0.907142857142857,0.92787981193065,0.937560916179337,0.959615384615385,0.968537682789651,0.974560862865948,0.97974358974359,0.989059079641057,0.992857142857143,0.994047619047619,1.06055214062331,1.10810810810811,1.10330912025827,1.09615384615385,1.12284962711317,1.1304347826087,1.12374488256841,1.15437838559548,1.10351283265629,1.11215834118756,1.11707470423692,1.09675550572966
